nhf,lng,lat,metric
1,0.021196886897087097,10.58795540034771,w_prev
2,-0.003366991877555847,10.545650959014893,w_prev
2,0.018553897738456726,10.58705784380436,w_prev
3,-0.028910577297210693,10.561029836535454,w_prev
3,0.022839441895484924,10.586239412426949,w_prev
3,0.013033553957939148,10.460418030619621,w_prev
4,0.0014064610004425049,10.546340703964233,w_prev
4,0.024315685033798218,10.585183829069138,w_prev
4,-0.09436303377151489,10.578119739890099,w_prev
4,0.01218549907207489,10.461311176419258,w_prev
5,-0.0926988422870636,10.57672244310379,w_prev
5,0.010378584265708923,10.462133929133415,w_prev
5,0.001975446939468384,10.546943053603172,w_prev
5,-0.062176018953323364,10.617085084319115,w_prev
5,0.0340065062046051,10.586056619882584,w_prev
1,-0.0889064222574234,10.629727467894554,incd
2,0.05427367985248566,10.559140130877495,incd
2,-0.09027518332004547,10.627468422055244,incd
3,0.052726730704307556,10.563406378030777,incd
3,0.037137120962142944,10.530643478035927,incd
3,-0.08920314908027649,10.629727810621262,incd
4,-0.08555321395397186,10.634301543235779,incd
4,0.04053506255149841,10.529605567455292,incd
4,0.053791344165802,10.561270266771317,incd
4,-0.10188272595405579,10.584526509046555,incd
5,0.03690756857395172,10.530312955379486,incd
5,-0.10251638293266296,10.585647895932198,incd
5,-0.08637313544750214,10.63400387763977,incd
5,-0.191903755068779,10.583863317966461,incd
5,0.05336838960647583,10.560618951916695,incd
1,0.020702838897705078,10.585548251867294,ptme
2,0.015163153409957886,10.460088208317757,ptme
2,0.023101240396499634,10.588537842035294,ptme
3,0.01338641345500946,10.458975851535797,ptme
3,0.03346340358257294,10.586269214749336,ptme
3,-0.025035232305526733,10.560866564512253,ptme
4,0.013197273015975952,10.462747693061829,ptme
4,-0.09200084209442139,10.578534573316574,ptme
4,0.0021489858627319336,10.547153770923615,ptme
4,0.033453136682510376,10.586028665304184,ptme
5,-0.11028648912906647,10.432222619652748,ptme
5,0.012658372521400452,10.463852733373642,ptme
5,-0.09393706917762756,10.577451393008232,ptme
5,0.001010119915008545,10.54886944591999,ptme
5,0.023202627897262573,10.587141782045364,ptme
