nhf,lng,lat,metric
1,0.014145150780677795,10.459324330091476,w_prev
2,0.013658881187438965,10.462230697274208,w_prev
2,0.003289461135864258,10.549144327640533,w_prev
3,0.14372579753398895,10.49200551211834,w_prev
3,0.003057420253753662,10.54684166610241,w_prev
3,0.0308169424533844,10.456247210502625,w_prev
4,4.823058843612671e-4,10.545973286032677,w_prev
4,0.011955425143241882,10.46364876627922,w_prev
4,0.07700797915458679,10.45546481013298,w_prev
4,0.14328308403491974,10.493193507194519,w_prev
5,0.00130482017993927,10.546887516975403,w_prev
5,0.030893146991729736,10.45520955324173,w_prev
5,-0.10950510203838348,10.433162197470665,w_prev
5,0.14292708039283752,10.495640516281128,w_prev
5,-0.06239528954029083,10.618990868330002,w_prev
1,0.04114231467247009,10.531264826655388,incd
2,0.037530288100242615,10.53027068078518,incd
2,-0.08759486675262451,10.634510070085526,incd
3,-0.08458252251148224,10.634572580456734,incd
3,0.0919560045003891,10.514436349272728,incd
3,0.0390876829624176,10.529011249542236,incd
4,-0.13347139954566956,10.619860291481018,incd
4,0.09575694799423218,10.513335660099983,incd
4,0.04092320799827576,10.52847969532013,incd
4,-0.0848730057477951,10.634205624461174,incd
5,-0.06659883260726929,10.620934396982193,incd
5,0.11121854186058044,10.540581479668617,incd
5,-0.1309293955564499,10.616801470518112,incd
5,-0.07728073000907898,10.643824502825737,incd
5,0.04150187969207764,10.533010765910149,incd
1,0.010094597935676575,10.458399459719658,ptme
2,7.935911417007446e-4,10.545931696891785,ptme
2,0.013340979814529419,10.460593596100807,ptme
3,0.0019817501306533813,10.545124143362045,ptme
3,-0.006111249327659607,10.3831467628479,ptme
3,0.012503832578659058,10.460617810487747,ptme
4,-0.0774063915014267,10.627845212817192,ptme
4,0.0019168704748153687,10.546073943376541,ptme
4,0.013872936367988586,10.461890667676926,ptme
4,-0.005397394299507141,10.383225068449974,ptme
5,-0.1120864599943161,10.43305678665638,ptme
5,-0.07611840963363647,10.625157371163368,ptme
5,-0.004796907305717468,10.383323311805725,ptme
5,8.616149425506592e-4,10.547155126929283,ptme
5,0.027284443378448486,10.455853149294853,ptme
