com_id,mal,n_obs,year,lat,lng,time_hf,time_chps,time_hc,time_uc,dist_hf,dist_uc,elev,ndvi,nlst,pop_den
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,1,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,1,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,1,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,1,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,1,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_1,0,13,2010,10.58668436,-0.10396234,0,0,12.229490280151367,11.883238792419434,0.2816370808231121,9.864512970430244,389.058076429824,6758.301001587976,18.985430427563102,195.09523218870163
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,1,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,1,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,1,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,0,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,1,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
AP1_2,1,17,2010,10.55955149,-0.11300663,8.169187545776367,8.169187545776367,20.398677825927734,20.052425384521484,2.8799009734039944,11.005254571055296,334.56936215189666,6614.772840232832,19.36071212681906,126.84803139790893
